Date,Cell ID,Cell Number,Cell Path,Genotype,Cell Type,Exclude Sweep Start,Exclude Sweep Stop,Raw Peaks (nA),Filtered Peaks (nA),Rs (MOhms)
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0173, -0.0174, 27.5368
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0161, -0.0132, 27.2276
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0300, -0.0112, 27.1915
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0134, -0.0124, 28.7894
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0245, -0.0122, 28.9656
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0230, -0.0123, 28.1998
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0177, -0.0130, 28.0220
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0249, -0.0129, 29.6428
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0132, -0.0121, 28.4829
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0244, -0.0117, 29.3589
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0309, -0.0115, 29.3772
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0130, -0.0109, 30.2698
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0280, -0.0100, 32.3063
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0197, -0.0108, 32.1234
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0271, -0.0108, 31.5794
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0203, -0.0100, 31.2110
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0266, -0.0092, 30.5647
2018-12-06,JH181206_c5,5,JH181206_c5/JH181206_c5_ctrl_1.ibw,OMP,MC,,, -0.0097, -0.0084, 31.6631
