Date,Cell ID,Cell Number,Cell Path,Genotype,Cell Type,Exclude Sweep Start,Exclude Sweep Stop,Raw Peaks (nA),Filtered Peaks (nA),Rs (MOhms)
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1845, -0.1845,  9.6249
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1316, -0.1632,  9.3986
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1496, -0.1508,  9.6061
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1556, -0.1421, 10.1547
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1444, -0.1381,  9.9412
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1503, -0.1380,  9.5791
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1567, -0.1396,  9.6087
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1525, -0.1428,  9.4987
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1457, -0.1459,  9.5136
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1566, -0.1487,  9.5618
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1506, -0.1500,  9.5452
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1580, -0.1503,  9.5268
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1554, -0.1510,  9.4396
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1587, -0.1526,  9.1228
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1974, -0.1518,  9.3758
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1579, -0.1487,  9.5953
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1461, -0.1458,  9.5689
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1568, -0.1465,  9.5574
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1497, -0.1476,  9.5469
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1529, -0.1497,  9.3833
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1562, -0.1508,  9.3720
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1600, -0.1507,  9.4223
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1618, -0.1497,  9.7883
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1600, -0.1475,  9.7900
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1426, -0.1461,  9.8031
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1444, -0.1438,  9.6923
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1494, -0.1409,  9.6506
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1364, -0.1378,  9.5831
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1512, -0.1361,  9.4624
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1817, -0.1351,  9.9259
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1384, -0.1345,  9.9837
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1375, -0.1342,  9.7166
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1406, -0.1344,  9.6728
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1380, -0.1347,  9.7568
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1460, -0.1345,  9.5339
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1440, -0.1351,  9.9561
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1393, -0.1352,  9.9138
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1426, -0.1346,  9.9093
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1491, -0.1340,  9.6976
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1308, -0.1349,  9.5475
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1384, -0.1356,  9.5595
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1378, -0.1361,  9.5152
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1538, -0.1371,  9.5147
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1432, -0.1392,  9.6643
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1442, -0.1413,  9.6057
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1481, -0.1435,  9.3543
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1446, -0.1453,  9.4539
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1619, -0.1461,  9.1809
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1555, -0.1521,  9.2542
2019-02-04,JH190204_c4,4,JH190204_c4/JH190204_c4_drug_1.ibw,OMP,E TC,,, -0.1605, -0.1604,  9.5003
